OBJECTID_1,FID_brooklyn_100,OBJECTID,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,Shape_Leng,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
1,10,38,360497,1.1.1.0,360497_230,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.009613307343510,9, ,B17,B,0.000590104011520,0.000000013337085,1349.633538731293356
2,15,75,360497,1.1.1.0,360497_457,NP,AE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.002753940855780,59, ,D3,D,0.000838433194235,0.000000015314848,1546.816060019375300
3,28,162,360497,1.1.1.0,360497_993,NP,VE, ,T,13.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.452103928389000,17, ,B9,B,0.001043863623254,0.000000032686886,3306.016503277452102
4,28,162,360497,1.1.1.0,360497_993,NP,VE, ,T,13.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.452103928389000,33, ,C23,C,0.031169755481388,0.000003590778020,363360.426160934555810
5,28,162,360497,1.1.1.0,360497_993,NP,VE, ,T,13.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.452103928389000,52, ,D18,D,0.002761487409849,0.000000044839533,4536.974881848565929
6,28,162,360497,1.1.1.0,360497_993,NP,VE, ,T,13.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.452103928389000,58, ,D23,D,0.000611185990649,0.000000003285133,332.403768025958982
7,33,183,360497,1.1.1.0,360497_1167,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.059301728938100,52, ,D18,D,0.005580329129324,0.000000681752602,68973.555822614071076
8,59,289,360497,1.1.1.0,360497_1907,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.057651258817100,61, ,D5,D,0.005171728396224,0.000001214456188,122715.321968128017033
9,59,289,360497,1.1.1.0,360497_1907,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.057651258817100,62, ,D6,D,0.005090797317632,0.000001300915652,131436.002969015942654
10,59,289,360497,1.1.1.0,360497_1907,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.057651258817100,65, ,D9,D,0.002548600168594,0.000000159548670,16120.670312349251617
11,60,290,360497,1.1.1.0,360497_1909,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.423833798980000,9, ,B17,B,0.002361164071216,0.000000156479160,15834.610206585575725
12,60,290,360497,1.1.1.0,360497_1909,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.423833798980000,33, ,C23,C,0.078157242603070,0.000009439013090,955132.513083711615764
13,60,290,360497,1.1.1.0,360497_1909,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.423833798980000,34, ,C24,C,0.046797581006201,0.000029367210699,2971596.997932546306401
14,60,290,360497,1.1.1.0,360497_1909,NP,AE, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,360497_FIS1,0.423833798980000,52, ,D18,D,0.025250180884748,0.000010908321942,1103727.181225811596960
