OBJECTID,FID_houston_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
1,48,48201C,1.1.1.0,48201C_108,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.006009766982253,0.000000657052537,75959.700439999607624
2,50,48201C,1.1.1.0,48201C_110,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,36, , ,D,0.015181650193252,0.000005601947745,647583.525108990143053
3,57,48201C,1.1.1.0,48201C_126,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.008219282908977,0.000001648996810,190627.707073697267333
4,95,48201C,1.1.1.0,48201C_238,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,36, , ,D,0.017092275932483,0.000007552710828,873069.221861763158813
5,220,48201C,1.1.1.0,48201C_536,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY3,34, , ,C,0.001743719181728,0.000000062851004,7265.453349179766519
6,327,48201C,1.1.1.0,48201C_774,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.000822636561289,0.000000019544781,2259.541106253777798
7,328,48201C,1.1.1.0,48201C_775,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.002862028451817,0.000000195067989,22551.297400159339304
8,331,48201C,1.1.1.0,48201C_784,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_LOMC90,9, , ,A,0.006399932655068,0.000001209720642,139956.630435671599116
9,488,48201C,1.1.1.0,48201C_1223,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY3,38, , ,C,0.005983356499885,0.000000450417861,52080.336061403060739
10,560,48201C,1.1.1.0,48201C_1381,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,48201C_STUDY1,34, , ,C,0.002460366094676,0.000000286325059,33104.885545458775596
