OBJECTID,FID_miami_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
1,33,12086C,1.1.1.0,12086C_181,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.011290622451239,0.000001596466975,190904.671354820282431
2,58,12086C,1.1.1.0,12086C_236,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,55, ,C4,C,0.016089365147041,0.000006595752148,788562.306578817078844
3,58,12086C,1.1.1.0,12086C_236,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,58, ,C7,C,0.008210681340053,0.000000810343991,96887.016832198249176
4,58,12086C,1.1.1.0,12086C_236,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.026669640751808,0.000008132675635,972331.418510341551155
5,76,12086C,1.1.1.0,12086C_278,NP,AH, ,T,7.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,32,Miami Springs,B25,B,0.124705871036242,0.000062040990974,7418569.017401880584657
6,79,12086C,1.1.1.0,12086C_290,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.001464102298037,0.000000019807742,2368.226848106258331
7,121,12086C,1.1.1.0,12086C_387,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC54,60,Buena Vista and Miramar,C9,C,0.002621808520368,0.000000148338051,17740.606093717851763
8,122,12086C,1.1.1.0,12086C_389,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC53,60,Buena Vista and Miramar,C9,C,0.001026247426381,0.000000040930248,4895.089727171076447
9,123,12086C,1.1.1.0,12086C_390,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC53,60,Buena Vista and Miramar,C9,C,0.003677533272527,0.000000282190224,33748.957129072827229
10,141,12086C,1.1.1.0,12086C_2150,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,57, ,C6,C,0.006322027442294,0.000000729828872,87274.487697790609673
11,141,12086C,1.1.1.0,12086C_2150,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.008905605830720,0.000002771227046,331387.466794411884621
12,142,12086C,1.1.1.0,12086C_2151,NP,AH, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,65,Hialeah,D13,D,0.011641620911980,0.000001305339690,156062.568787072697887
13,143,12086C,1.1.1.0,12086C_2152,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,65,Hialeah,D13,D,0.005842737872929,0.000000967488459,115667.708021930171526
14,145,12086C,1.1.1.0,12086C_1053,NP,AH, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,65,Hialeah,D13,D,0.083311497621501,0.000055967529829,6690323.931475551798940
15,148,12086C,1.1.1.0,12086C_1062,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.007511914735522,0.000001199392988,143386.633631157572381
16,177,12086C,1.1.1.0,12086C_1601,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,39, ,B9,B,0.003351579754276,0.000000100666293,12033.428765343747727
17,246,12086C,1.1.1.0,12086C_625,NP,AH, ,T,9.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,29,Coral Gables,B22,B,0.000951299541250,0.000000043582623,5214.707605838914787
18,263,12086C,1.1.1.0,12086C_667,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.006013761664875,0.000000674064542,80594.337661042765831
19,295,12086C,1.1.1.0,12086C_748,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,55, ,C4,C,0.004346853836397,0.000000944637114,112941.030295942327939
20,305,12086C,1.1.1.0,12086C_787,NP,VE, ,T,14.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY1,1,Brickell Ave. District,A10,A,0.005863923833207,0.000000839345721,100417.145624983240850
21,305,12086C,1.1.1.0,12086C_787,NP,VE, ,T,14.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY1,19,Point View,B13,B,0.007847429640078,0.000001620763185,193901.835990639432566
22,305,12086C,1.1.1.0,12086C_787,NP,VE, ,T,14.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY1,45, ,C14,C,0.001562838162937,0.000000156579827,18732.349419569542079
23,307,12086C,1.1.1.0,12086C_793,NP,AH, ,T,7.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,32,Miami Springs,B25,B,0.002912229045408,0.000000182774192,21855.180079172489059
24,322,12086C,1.1.1.0,12086C_836,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC42,60,Buena Vista and Miramar,C9,C,0.000140822734435,0.000000000577829,69.109505293274182
25,339,12086C,1.1.1.0,12086C_880,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,29,Coral Gables,B22,B,0.022936925066041,0.000003710634514,443915.891861826879904
26,350,12086C,1.1.1.0,12086C_903,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,60,Buena Vista and Miramar,C9,C,0.030683901296672,0.000005071532462,606528.192840734962374
