OBJECTID,FID_philly_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
1,0,420757,1.1.1.0,420757_83,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.003212375900197,0.000000028073567,2859.863811497460574
2,2,420757,1.1.1.0,420757_88,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.037759113803458,0.000002466759014,251276.372335232095793
3,3,420757,1.1.1.0,420757_90,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.000723873129742,0.000000014414987,1468.326496160831311
4,4,420757,1.1.1.0,420757_92,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.012662565627801,0.000000849832587,86565.746404131758027
5,5,420757,1.1.1.0,420757_95,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.008597329920139,0.000000536920334,54691.991445976120303
6,6,420757,1.1.1.0,420757_96,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.000820304514770,0.000000025860999,2634.302902897944932
7,7,420757,1.1.1.0,420757_98,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.002582768572482,0.000000193383647,19698.973981349594396
8,8,420757,1.1.1.0,420757_100,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.007507772543876,0.000000355861741,36250.038145983067807
9,9,420757,1.1.1.0,420757_101,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.004809359745632,0.000000486735584,49581.428565619840811
10,10,420757,1.1.1.0,420757_103,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,31, ,B9,B,0.005074312363250,0.000000380804705,38790.819700741456472
